ID	Value
hhd30	बल्कि\CC_CCD साँसों\N_NN की\PSP दुर्गंध\JJ से\PSP भी\RP_RPD छुटकारा\N_NN मिलता\V_VM है\V_VAUX ।\RD_PUNC
hhd31	सेहत\N_NN है\V_VAUX तो\RP_RPD सब\QT_QTF है\V_VAUX ।\RD_PUNC
hhd32	आज\N_NST की\PSP व्यस्त\JJ जिंदगी\N_NN में\PSP खुद\PR_PRF को\PSP स्वस्थ\N_NN रखना\V_VM किसी\DM_DMI चुनौती\N_NN से\PSP कम\QT_QTF नहीं\RP_NEG ।\RD_PUNC
hhd33	लेकिन\CC_CCS खान-पान\RD_ECH पर\PSP ध्यान\N_NN और\CC_CCD जीवनशैली\N_NN में\PSP थोड़ा\QT_QTF बदलाव\N_NN लाकर\V_VM आप\PR_PRP खुद\PR_PRF को\PSP स्वस्थ\JJ रख\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd34	कम\QT_QTF वसायुक्त\JJ आहार\N_NN का\PSP करें\V_VM सेवन\N_NN ।\RD_PUNC
hhd35	खाना\N_NN वही\PR_PRP खाएँ\V_VM जिसमें\PR_PRL कम\QT_QTF वसा\N_NN और\CC_CCD फाइबर\N_NN ज्यादा\QT_QTF हो\V_VM ।\RD_PUNC
hhd36	फलों\N_NN और\CC_CCD सब्जियों\N_NN में\PSP ऐसा\DM_DMD ही\RP_RPD अनुपात\N_NN रहता\V_VM है\V_VAUX ।\RD_PUNC
hhd37	कम\QT_QTF वसा\N_NN और\CC_CCD फाइबर\N_NN वाले\PSP खाने\N_NN से\PSP वजन\N_NN नियंत्रित\JJ करने\V_VM में\PSP मदद\N_NN मिलती\V_VM है\V_VAUX ।\RD_PUNC
hhd38	कम\QT_QTF वसा\N_NN और\CC_CCD फाइबर\N_NN वाले\PSP खाने\N_NN से\PSP आप\PR_PRP कई\QT_QTF बीमारियों\N_NN से\PSP भी\RP_RPD दूर\N_NN रहते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd39	नमक\N_NN और\CC_CCD शराब\N_NN का\PSP सेवन\N_NN कम\QT_QTF करें\V_VAUX ।\RD_PUNC
hhd40	ब्लड\N_NN प्रेशर\N_NN और\CC_CCD कोलेस्ट्राल\N_NN को\PSP नियंत्रित\JJ करने\V_VM के\PSP लिए\PSP नमक\N_NN और\CC_CCD शराब\N_NN का\PSP सेवन\N_NN कम\QT_QTF से\PSP कम\QT_QTF मात्रा\N_NN में\PSP करें\V_VM ।\RD_PUNC
hhd41	बंद\N_NN करें\V_VM धूम्रपान\N_NN ।\RD_PUNC
hhd42	धूम्रपान\N_NN करने\V_VM से\PSP कैंसर\N_NN समेत\N_NN कई\QT_QTF बीमारियों\N_NN का\PSP खतरा\N_NN होता\V_VM है\V_VAUX ।\RD_PUNC
hhd43	इसे\DM_DMD छोड़ने\V_VM की\PSP पूरी\N_NN कोशिश\N_NN करें\V_VM ।\RD_PUNC
hhd44	रोज\N_NST करें\V_VM व्यायाम\N_NN ।\RD_PUNC
hhd45	अपनी\PR_RRF रोज\N_NST की\PSP दिनचर्या\N_NN में\PSP व्यायाम\N_NN को\PSP जरूर\N_NN शामिल\N_NN करें\V_VM ।\RD_PUNC
hhd46	नियमित\JJ व्यायाम\N_NN से\PSP आप\PR_PRP हृदय\N_NN रोग\N_NN ,\RD_PUNC कोलन\N_NNP कैंसर\N_NN ,\RD_PUNC ब्लड\N_NN प्रेशर\N_NN और\CC_CCD डायबिटीज\N_NN जैसी\CC_CCS बीमारियों\N_NN से\PSP बचाव\N_NN कर\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd47	करते\V_VM रहें\V_VAUX हल्की\JJ -\RD_PUNC फुल्की\RD_ECH शारीरिक\JJ गतिविधियाँ\N_NN ।\RD_PUNC
hhd48	सीढ़ी\N_NN चढ़ना\V_VM ,\RD_PUNC बागवानी\N_NN ,\RD_PUNC घर\N_NN के\PSP छोटे\JJ -\RD_PUNC मोटे\JJ काम\N_NN या\CC_CCD डांस\N_NN करने\V_VM जैसी\CC_CCS हल्की\JJ -\RD_PUNC फुल्की\RD_ECH शारीरिक\JJ गतिविधियाँ\N_NN जरूर\N_NN करते\V_VM रहें\V_VAUX ।\RD_PUNC
hhd49	इनसे\PR_PRP शरीर\N_NN में\PSP लचीलापन\JJ बना\V_VM रहता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd50	यदि\CC_CCS लगातार\N_NN बुखार\N_NN आ\V_VM रहा\V_VAUX है\V_VAUX तो\RP_RPD उसकी\PR_PRP जाँच\N_NN अवश्य\N_NN करायें\V_VM ।\RD_PUNC
hhd51	मलेरिया\N_NNP ,\RD_PUNC कालाजार\N_NNP ,\RD_PUNC यक्ष्मा\N_NNP की\PSP शुरुआत\N_NN बुखार\N_NNP से\PSP ही\RP_RPD होती\V_VM है\V_VAUX ।\RD_PUNC
hhd52	गर्मी\N_NN का\PSP मौसम\N_NN शुरू\N_NN हो\V_VM चुका\V_VAUX है\V_VAUX ।\RD_PUNC
hhd53	बासी\JJ भोजन\N_NN व\CC_CCD सड़क\N_NN किनारे\N_NN बिकने\V_VM वाले\PSP सामान\N_NN का\PSP सेवन\N_NN नहीं\RP_NEG करें\V_VM ।\RD_PUNC
hhd54	बच्चों\N_NN को\PSP फास्ट\JJ फूड\N_NN ,\RD_PUNC कुरकुरे\N_NN ,\RD_PUNC आइसक्रीम\N_NN नहीं\RP_NEG खिलायें\V_VM ।\RD_PUNC
hhd55	कै-दस्त\N_NNP होने\V_VM पर\PSP नमक\N_NN और\CC_CCD चीनी\N_NN का\PSP घोल\N_NN या\CC_CCD ओ.आर.एस\N_NNP पिलायें\V_VM ।\RD_PUNC
hhd56	साफ\JJ पानी\N_NN अधिक\QT_QTF से\PSP अधिक\QT_QTF पीयें\V_VM ।\RD_PUNC
hhd57	लगातार\N_NN बुखार\N_NN से\PSP पीड़ित\N_NN हो\V_VM ?\RD_PUNC
hhd58	कालाजार\N_NNP ,\RD_PUNC मलेरिया\N_NNP या\CC_CCD फिर\RB हाई\JJ फीवर\N_NN हो\V_VM सकता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd59	मेरा\PR_PRP बच्चा\N_NN दस्त\N_NN और\CC_CCD बुखार\N_NN दोनों\QT_QTC पीड़ित\N_NN है\V_VAUX ?\RD_PUNC
hhd61	ढाई\QT_QTC -\RD_PUNC तीन\QT_QTC वर्षो\N_NN से\PSP हर\QT_QTF दो\QT_QTC -\RD_PUNC तीन\QT_QTC माह\N_NN पर\PSP फीवर\N_NN हो\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd62	यही\DM_DMD नहीं\RP_NEG जीभ\N_NN पर\PSP सफेद\JJ परत\N_NN जम\V_VM जाती\V_VAUX है\V_VAUX ।\RD_PUNC
hhd63	पानी\N_NN की\PSP मात्रा\N_NN ज्यादा\QT_QTF लें\V_VM और\CC_CCD यूरीन\N_NN कल्चर\N_NN जाँच\N_NN करायें\V_VM ।\RD_PUNC
hhd64	कालाजार\N_NNP के\PSP प्रारंभिक\JJ लक्षण\N_NN क्या\RP_RPQ हैं\V_VM ?\RD_PUNC
hhd65	कुछ\QT_QTF दिनों\N_NN से\PSP हल्का\JJ फीवर\N_NN रहता\V_VM है\V_VAUX ।\RD_PUNC
hhd66	बुखार\N_NN की\PSP जाँच\N_NN करें\V_VM और\CC_CCD अन्य\JJ जरूरी\N_NN जाँच\N_NN के\PSP पश्चात\N_NST ही\RP_RPD कालाजार\N_NNP प्रमाणित\N_NN हो\V_VM सकता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd67	मेटासिन\N_NNP की\PSP गोली\N_NN देने\V_VM से\PSP बुखार\N_NN उतर\V_VM जाता\V_VAUX है\V_VAUX और\CC_CCD फिर\RB 103\QT_QTC तक\PSP बुखार\N_NN चढ़\V_VM जाता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd68	एक्सरे\N_NN ,\RD_PUNC टीसी-डीसी\N_NN नार्मल\N_NN है\V_VAUX ।\RD_PUNC
hhd69	चार\QT_QTC -\RD_PUNC चार\QT_QTC घंटे\N_NN पर\PSP फीवर\N_NN को\PSP मापें\V_VM ।\RD_PUNC
hhd70	अगर\CC_CCS 100\QT_QTC से\PSP ज्यादा\QT_QTF फीवर\N_NN हो\V_VM तो\RP_RPD पैरासीटामोल\N_NNP की\PSP गोली\N_NN दें\V_VM और\CC_CCD किसी\PR_PRQ औषधि\N_NN विशेषज्ञ\N_NN चिकित्सक\N_NN से\PSP परामर्श\N_NN लें\V_VM ।\RD_PUNC
hhd71	एच.आई.वी.\N_NNP क्या\PR_PRQ है\V_VM ?\RD_PUNC
hhd72	यह\DM_DMD कैसे\PR_PRQ होता\V_VM है\V_VAUX ?\RD_PUNC
hhd73	बचाव\N_NN के\PSP उपाय\N_NN बताएँ\V_VM ?\RD_PUNC
hhd74	यह\DM_DMD एक\QT_QTC प्रकार\N_NN का\PSP वायरस\N_NN होता\V_VM है\V_VAUX ।\RD_PUNC
hhd75	इसका\PR_PRP फैलाव\N_NN मुख्यत:\N_NN असुरक्षित\JJ यौन\N_NN संबंध\N_NN ,\RD_PUNC संक्रमित\JJ सूई\N_NN ,\RD_PUNC संक्रमित\JJ रक्त\N_NN व\CC_CCD माँ\N_NN से\PSP बच्चों\N_NN में\PSP होता\V_VM है\V_VAUX ।\RD_PUNC
hhd76	इससे\PR_PRP शरीर\N_NN की\PSP रोग\N_NN प्रतिरोधक\JJ क्षमता\N_NN कम\QT_QTF होती\V_VM जाती\V_VAUX है\V_VAUX ।\RD_PUNC
hhd77	बोन\N_NNP टीवी\N_NNP की\PSP क्या\PR_PRQ पहचान\V_VM है\V_VAUX तथा\CC_CCD इसका\PR_PRP क्या\PR_PRQ इलाज\N_NN है\V_VAUX ?\RD_PUNC
hhd78	हड्डियों\N_NN में\PSP दर्द\N_NN ,\RD_PUNC लगातार\N_NN बुखार\N_NN ,\RD_PUNC भले\N_NN ही\RP_RPD यह\DM_DMD कम\QT_QTF क्यों\PR_PRQ न\RP_NEG हो\V_VM या\RP_RPD बुखार\N_NN शाम\N_NN में\PSP बढ़\V_VM जाये\V_VAUX ,\RD_PUNC दर्द\N_NN के\PSP साथ-साथ\PSP हड्डियों\N_NN में\PSP विकृति\JJ आ\V_VM जाये\V_VAUX तो\RP_RPD यह\DM_DMD बोन\N_NNP टीबी\N_NNP का\PSP लक्षण\N_NN है\V_VAUX ।\RD_PUNC
hhd79	इससे\PR_PRP हड्डियाँ\N_NN कमजोर\JJ हो\V_VM जाती\V_VAUX हैं\V_VAUX और\CC_CCD गलने\V_VM लगती\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd80	इस\DM_DMD परिस्थिति\N_NN में\PSP लकवा\N_NN भी\RP_RPD मार\V_VM सकता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd81	इसकी\PR_PRP जाँच\N_NN के\PSP लिए\PSP डिजिटल\JJ एक्सरे\N_NN ,\RD_PUNC एम.आर.आई.\N_NNP करायें\V_VM ,\RD_PUNC टीबी\N_NNP की\PSP दवा\N_NN एक\QT_QTC वर्ष\N_NN तक\PSP लें\V_VM एवं\CC_CCD विशेषज्ञ\N_NN चिकित्सक\N_NN से\PSP परामर्श\N_NN लें\V_VM ।\RD_PUNC
hhd82	रात\N_NN में\PSP सोते\V_VM समय\N_NN शरीर\N_NN पर\PSP एक\QT_QTC चादर\N_NN जरूर\N_NN रखे\V_VM एवं\CC_CCD पंखा\N_NN कम\QT_QTF से\PSP कम\QT_QTF चलायें\V_VM ।\RD_PUNC
hhd83	इससे\PR_PRP अगर\CC_CCS अपने\PR_PRF आप\PR_PRP सही\JJ महसूस\N_NN नहीं\RP_NEG करते\V_VM हैं\V_VAUX तो\RP_RPD एन्टीएलर्जिक\JJ टेबलेट\N_NN दस\QT_QTC दिनों\N_NN तक\PSP लें\V_VAUX ।\RD_PUNC
hhd84	बच्चों\N_NN को\PSP घमौंरी\N_NN हो\V_VM रही\V_VAUX है\V_VAUX क्या\PR_PRQ करें\V_VM ?\RD_PUNC
hhd85	डायरिया\N_NNP का\PSP घरेलू\JJ उपचार\N_NN क्या\PR_PRQ है\V_VAUX ?\RD_PUNC
hhd86	एक\QT_QTC गिलास\N_NN पानी\N_NN में\PSP दो\QT_QTC चम्मच\N_NN चीनी\N_NN एवं\CC_CCD एक\QT_QTC चुटकी\JJ नमक\N_NN डालकर\V_VM उबालकर\V_VM दें\V_VM ।\RD_PUNC
hhd87	धूप\N_NN के\PSP कारण\N_NN क्या\PR_PRQ कालाजार\N_NNP रोग\N_NN होता\V_VM है\V_VAUX ?\RD_PUNC
hhd88	क्या\PR_PRQ गर्मी\N_NN में\PSP इसका\PR_PRP प्रकोप\N_NN बढ़\V_VM जाता\V_VAUX है\V_VAUX ?\RD_PUNC
hhd89	कालाजार\N_NNP बालू\N_NNP मक्खी\N_NN के\PSP काटने\V_VM से\PSP होता\V_VM है\V_VAUX ।\RD_PUNC
hhd90	इसका\PR_PRP उपचार\N_NN सभी\QT_QTF अस्पतालों\N_NN में\PSP है\V_VAUX ।\RD_PUNC
hhd91	इसके\PR_PRP लिए\PSP अब\N_NST टेबलेट\N_NN भी\RP_RPD उपलब्ध\N_NN हैं\V_VAUX ।\RD_PUNC
hhd92	किसी\DM_DMI बच्चे\N_NN को\PSP कुकुर\N_NNP खाँसी\N_NN हो\V_VM जाये\V_VAUX तो\RP_RPD क्या\PR_PRQ करना\V_VM चाहिये\V_VAUX ?\RD_PUNC
hhd93	बच्चे\N_NN को\PSP डीपीटी\N_NNP का\PSP टीका\N_NN लगायें\V_VM ।\RD_PUNC
hhd94	किसी\PR_PRQ विशेषज्ञ\N_NN चिकित्सक\N_NN से\PSP दिखायें\V_VM तथा\CC_CCD खाँसी\N_NN के\PSP लिए\PSP बलगम\N_NN की\PSP जाँच\N_NN करायें\V_VM ।\RD_PUNC
hhd95	अपनी\PR_PRF आँखों\N_NN की\PSP देखभाल\N_NN को\PSP लेकर\V_VM आप\PR_PRP कितने\PR_PRQ जागरूक\N_NN हैं\V_VAUX ?\RD_PUNC
hhd96	हर\QT_QTF छह\QT_QTC माह\N_NN में\PSP करें\V_VM आँखों\N_NN की\PSP जाँच\N_NN ।\RD_PUNC
hhd97	चश्मे\N_NN या\CC_CCD कांटैक्ट\N_NN लेंस\N_NN का\PSP रखरखाव\N_NN करें\V_VM ।\RD_PUNC
hhd98	नियमित\JJ आँखें\N_NN धोना\V_VM ।\RD_PUNC
hhd99	लेकिन\CC_CCS इन\DM_DMD सबके\QT_QTF साथ\N_NN अगर\CC_CCS आप\PR_PRP अपने\PR_PRF खान\N_NN -\RD_PUNC पान\RD_ECH पर\PSP थोड़ा\QT_QTF सा\RP_PRD ध्यान\N_NN दें\V_VM ।\RD_PUNC
hhd100	तो\RP_RPD न\RP_NEG सिर्फ\QT_QTF आपकी\PR_PRP आँखों\N_NN की\PSP रोशनी\N_NN बेहतर\N_NN हो\V_VM सकती\V_VAUX है\V_VAUX ।\RD_PUNC
hhd101	बल्कि\CC_CCS आप\PR_PRP नेत्ररोगों\N_NN से\PSP भी\RP_RPD बचे\V_VM रहेंगे\V_VAUX ।\RD_PUNC
hhd102	लिवरपूल\N_NNP यूनिवर्सिटी\N_NNP के\PSP आप्थैमोलॉजी\N_NNP विभाग\N_NN के\PSP अध्यक्ष\N_NN व\CC_CCD विख्यात\JJ नेत्ररोग\N_NN शोधकर्ता\N_NN डॉ.\N_NN इयान\N_NNP ग्रीयरसन\N_NNP कहते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd103	कि\CC_CCS खाने\V_VM में\PSP विटामिन-सी\N_NNP और\CC_CCD ओमेगा-3\N_NNP तेलों\N_NN व\CC_CCD कुछ\QT_QTF विशेष\JJ पौधों\N_NN की\PSP मात्रा\N_NN बढ़ाने\V_VM से\PSP आमतौर\RB पर\PSP अंधेपन\N_NN का\PSP कारण\N_NN बनने\V_VM वाले\PSP मोतियाबिंद\N_NN व\CC_CCD ग्लूकोमा\N_NN जैसे\N_NN रोगों\N_NN से\PSP बचा\V_VM जा\V_VAUX सकता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd104	तो\RP_RPD आइए\V_VM जानते\V_VAUX है\V_VAUX कि\CC_CCS नजर\N_NN को\PSP स्वस्थ\N_NN बनाए\V_VM रखने\V_VAUX के\PSP लिए\PSP कैसा\PR_PRQ हो\V_VM आपका\PR_PRP आहार\N_NN ।\RD_PUNC
hhd105	नजर\N_NN तेज\JJ बनी\V_VM रहे\V_VAUX ,\RD_PUNC इसके\PR_PRP लिए\PSP आपको\PR_PRP चाहिए\V_VM की\PSP अपने\PR_PRF आहार\N_NN में\PSP आप\PR_PRP हरी\JJ सब्जियाँ\N_NN शामिल\N_NN करें\V_VM ।\RD_PUNC
hhd106	पालक\N_NN ,\RD_PUNC ब्रोकोली\N_NN ,\RD_PUNC अंकुरित\JJ अनाज\N_NN खाना\V_VM इस\PR_PRP लिहाज\N_NN से\PSP फायदेमंद\N_NN साबित\N_NN हो\V_VM सकता\V_VAUX है\V_VAUX ।\RD_PUNC
hhd107	इसमें\PR_PRP ल्यूटिन\N_NN ,\RD_PUNC जीजेनथिन\N_NN जैसे\CC_CCS दो\QT_QTC अहम\JJ तत्व\N_NN होते\V_VM हैं\V_VAUX ,\RD_PUNC जो\PR_PRL नजर\N_NN को\RP_RPD तेज\RB बनाए\V_VM रखने\V_VAUX के\PSP लिए\PSP जिम्मेदार\N_NN होते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd108	अमेरिकी\N_NNP नेशनल\N_NNP आई\N_NNP इंस्टीट्यूट\N_NNP के\PSP 6\QT_QTC साल\N_NN के\PSP अध्ययन\N_NN में\PSP यह\DM_DMD साबित\N_NN हुआ\V_VM है\V_VAUX कि\CC_CCS यह\DM_DMD तत्व\N_NN बुजुर्गों\N_NN को\PSP अंधेपन\N_NN से\PSP बचाते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd109	अमेरिकी\N_NNP नेशनल\N_NNP आई\N_NNP इंस्टीट्यूट\N_NNP के\PSP 6\QT_QTC साल\N_NN के\PSP अध्ययन\N_NN में\PSP यह\DM_DMD साबित\N_NN हुआ\V_VM है\V_VAUX कि\CC_CCS यह\DM_DMD तत्व\N_NN बुजुर्गों\N_NN को\PSP अंधेपन\N_NN से\PSP बचाते\V_VM हैं\V_VAUX ।\RD_PUNC
hhd110	नाश्ते\N_NN में\PSP रोज\N_NST दो\QT_QTC या\CC_CCD तीन\QT_QTC अंडे\N_NN जरूर\N_NN खाएँ\V_VM ।\RD_PUNC
hhd111	बिलबैरी\N_NNP या\CC_CCD ब्लैकबैरी\N_NNP एंथोसाइनिन\N_NN अंधेपन\N_NN या\CC_CCD मोतियाबिंद\N_NNP से\PSP बचाती\V_VM है\V_VAUX ।\RD_PUNC
hhd112	शोध\N_NN में\PSP यह\DM_DMD भी\RP_PRD पाया\V_VM गया\V_VAUX है\V_VAUX कि\CC_CCS यह\DM_DMD आँखों\N_NN में\PSP खून\N_NN और\CC_CCD पोषक\JJ तत्व\N_NN पहुँचाने\V_VM वाली\PSP कोशिकाओं\N_NN को\PSP मजबूत\JJ बनाती\V_VM हैं\V_VAUX ।\RD_PUNC
hhd113	इसलिए\RB नाश्ते\N_NN या\CC_CCD फ्रूट\N_NN सलाद\N_NN के\PSP साथ\PSP आप\PR_PRP बिलबैरी\N_NNP या\CC_CCD ब्लैकबैरी\N_NNP भी\RP_RPD खा\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd114	अगर\CC_CCS आप\PR_PRP मांसाहारी\N_NN हैं\V_VAUX तो\RP_RPD आँखों\N_NN को\PSP स्वस्थ\JJ बनाए\V_VM रखने\V_VAUX के\PSP लिए\PSP मछली\N_NN का\PSP सेवन\N_NN करने\V_VM से\PSP अच्छा\JJ कोई\DM_DMI उपाय\N_NN नहीं\RP_NEG ।\RD_PUNC
hhd115	मछली\N_NN खाने\V_VM से\PSP न\RP_NEG केवल\QT_QTF आपकी\PR_PRP त्वचा\N_NN ,\RD_PUNC बाल\N_NN ,\RD_PUNC दिमाग\N_NN स्वस्थ\JJ रहता\V_VAUX बल्कि\CC_CCD नजर\N_NN भी\RP_RPD तेज\JJ होती\V_VM है\V_VAUX ।\RD_PUNC
hhd116	मछली\N_NN में\PSP पाया\V_VM जाने\V_VAUX वाला\PSP ओमगा-3\N_NN फैट\N_NN आँखों\N_NN को\PSP ग्लूकोमा\N_NN और\CC_CCD बुढ़ापे\N_NN में\PSP नजर\N_NN कमजोर\JJ होने\V_VM का\PSP खतरा\N_NN कम\QT_QTF करता\V_VM है\V_VAUX ।\RD_PUNC
hhd117	यही\DM_DMD नहीं\RP_NEG ,\RD_PUNC यह\DM_DMD आपको\PR_PRP ड्राय\N_NNP आई\N_NNP सिंड्रोम\N_NN से\PSP बचाता\V_VM है\V_VAUX ।\RD_PUNC
hhd118	एक\QT_QTC अन्य\N_NN अध्ययन\N_NN में\PSP बताया\V_VM गया\V_VAUX है\V_VAUX कि\CC_CCS ड्राय\N_NNP आई\N_NNP सिंड्रोम\N_NN जैसे\CC_CCS नेत्र\N_NN समस्या\N_NN से\PSP परेशान\JJ महिलाएँ\N_NN हफ्ते\N_NN में\PSP पाँच\QT_QTC बार\N_NN ट्यूना\N_NNP मछली\N_NN खाकर\V_VM ,\RD_PUNC इस\PR_PRP तकलीफ\N_NN को\PSP 68\QT_QTC फीसदी\N_NN कम\QT_QTF कर\V_VM सकती\V_VAUX हैं\V_VAUX ।\RD_PUNC
hhd119	भारतीय\JJ व्यंजनों\N_NN में\PSP मेवे\N_NN आदि\N_NN का\PSP इस्तेमाल\N_NN सदियों\N_NN से\PSP होता\V_VM आ\V_VAUX रहा\V_VAUX है\V_VAUX ।\RD_PUNC
